Department Name,Department Headcount
Platform Services,3
Implementation,2
Technical Partner Management,1
Data Partnerships,1
Corporate Strategy,1
Client Success Operations,2
Client Insights & Analytics,4
Product Management,3
Product Marketing,2
Business Intelligence,1
Sales Engineering,2
Marketing Operations,2
Sales/Business Operations,3
Recruiting Operations,1
Client Delivery Operations,1
Systems Administration,2
Hitchhikers,3
UX Research,2
Strategic Marketing,1
Enablement,1
Internal PMO,2